,ref,publication,city,state,country,award,award_single_word,award_weight,general_category,general_category_single_word,specific_category,name1,title1,name2,title2,name3,title3,name4,title4,name5,title5,name6,title6,name7,title7,name8,title8,name9,title9,name10,title10
0,2001,Het Parool,Amsterdam,,Netherlands,World's Best-Designed,WBD,1,World's Best-Designed,WBD,"Daily 175,000 and over",Staff,,,,,,,,,,,,,,,,,,,
1,2000,Die Zeit,Hamburg,,Germany,World's Best-Designed,WBD,1,World's Best-Designed,WBD,"Daily 175,000 and over",Staff,,,,,,,,,,,,,,,,,,,
2,0978,The Boston Globe,Boston,Mass.,United States,Award of Excellence & JSR,AEJSR,6,Miscellaneous,MIS,,Heather Hopp-Bruce,Ideas Design supervisor/Illustrator,Katie Kingsbury,Ideas Editor,Alex Kingsbury,Deputy Ideas Editor,Omar Vega,News Design supervisor,James Abundis,Graphics Artist,Dan Zedek,Design Director,,,,,,,,
3,0045,The Boston Globe,Boston,Mass.,United States,JSR (Overall),JSR,5,Opinion Design,OPD,"Single Page/Broadsheet 175,000 and over",Heather Hopp-Bruce,Ideas Design supervisor/Illustrator,Katie Kingsbury,Ideas Editor,Alex Kingsbury,Deputy Ideas Editor,Omar Vega,News Design Supervisor,Dan Zedek,Design Director,,,,,,,,,,
4,0042,The Boston Globe,Boston,Mass.,United States,Award of Excellence,AE,7,Opinion Design,OPD,"Single Page/Broadsheet 175,000 and over",Heather Hopp-Bruce,Ideas Design supervisor/Illustrator,Katie Kingsbury,Ideas Editor,Alex Kingsbury,Deputy Ideas Editor,,,,,,,,,,,,,,
5,0044,The Boston Globe,Boston,Mass.,United States,Award of Excellence,AE,7,Opinion Design,OPD,"Single Page/Broadsheet 175,000 and over",Heather Hopp-Bruce,Ideas Design supervisor/Illustrator,Katie Kingsbury,Ideas Editor,Alex Kingsbury,Deputy Ideas Editor,Omar Vega,News Design Supervisor,Dan Zedek,Design Director,,,,,,,,,,
6,0154,Beijing News Agency,Beijing,,China,Silver,S,4,Special News Topics,SNT,Editor's Choice: Features,Gu Lexiao,Newspaper Designer,Xu Yingjian,Illustrator,Gao Junfu,Illustrator,Yan Shuhong,Art Director,,,,,,,,,,,,
7,1135,Beijing News Agency,Beijing,,China,Award of Excellence,AE,7,Special Sections,SPS,Features/No ads,Gu Lexiao,Newspaper Designer,Xu Yingjian,Illustrator,Gao Junfu,Illustrator,Yan Shuhong,Art Director,,,,,,,,,,,,
8,0747,Chicago Tribune,Chicago,Ill.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"A-Section/Broadsheet 175,000 and over",Ken Rickard,Editor/Designer,,,,,,,,,,,,,,,,,,
9,0863,Chicago Tribune,Chicago,Ill.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Ken Rickard,Editor/Designer,,,,,,,,,,,,,,,,,,
10,0202,Chicago Tribune,Chicago,Ill.,United States,Silver,S,4,"Photography, Multiple Photos",PMP,Single-Day Photo Series,Jason Wambsgans,Photographer,,,,,,,,,,,,,,,,,,
11,0036,Chicago Tribune,Chicago,Ill.,United States,Silver,S,4,"Photography, Single Photos",PSP,Portrait,Jason Wambsgans,Photographer,,,,,,,,,,,,,,,,,,
