ref,the,publication,city,state,country,award,section,section_multiple,CHAP,SUBFOLDER,page_designer,est,page,comment,cat,general_category,specific_category,headline,name1,title1,name2,title2,name3,title3,name4,title4,name5,title5,name6,title6,name7,title7,name8,title8,name9,title9,name10,title10,,SECTION,PRELIM COUNT,,SECTION,GENERAL CATEGORY,PRELIM COUNT,,CHAP,winners,entries,,,SUBFOLDER,,,,AWARD,
2001,Het,Parool,Amsterdam,,NETHERLANDS,World's Best-Designed™,03-WBD,,03-WBD,,Yunong,4.00,14,,01A,World's Best-Designed™,"Daily 175,000 and over",World’s Best-Designed,Staff ,,,,,,,,,,,,,,,,,,,,,03-WBD,2,,06-NEWS,News Design [Sections],6,,03-WBD,2,2,,,,,,,World's Best-Designed™,2
2000,Die,Zeit,Hamburg,,GERMANY,World's Best-Designed™,03-WBD,,03-WBD,,Yunong,4.00,11,Not 2000C,01A,World's Best-Designed™,"Daily 175,000 and over",World’s Best-Designed,Staff ,,,,,,,,,,,,,,,,,,,,,04-MED,85,,06-NEWS,News Design [Pages],186,,04-MED,210,58,,,06-BNT,28,,,Award of Excellence & JSR,2
978,The,Boston Globe,Boston,Mass.,,Award of Excellence & JSR,04-MED,MED-BG1,04-MED,,SL,,66,,19,Miscellaneous,,Make it stop,Heather Hopp-Bruce,Ideas Design supervisor/Illustrator,Katie Kingsbury,Ideas Editor,Alex Kingsbury,Deputy Ideas Editor,Omar Vega,News Design supervisor,James Abundis,Graphics Artist,Dan Zedek,Design Director,,,,,,,,,,06-NEWS,351,,06-NEWS,Breaking News Topics,64,,05-MULT,366,120,,,06-OPINION,19,,,JSR (Overall),3
45,The,Boston Globe,Boston,Mass.,,JSR (Overall),04-MED,MED-BG1,04-MED,,SL,1.00,66,,11Aa,Opinion Design,"Single Page/Broadsheet 175,000 and over",Make it stop,Heather Hopp-Bruce,Ideas Design supervisor/Illustrator,Katie Kingsbury,Ideas Editor,Alex Kingsbury,Deputy Ideas Editor,Omar Vega,News Design Supervisor,Dan Zedek,Design Director,,,,,,,,,,,,07-FEA,155,,06-NEWS,Opinion ,1,,06-NEWS,151,151,30.2,,06-PAGES,76,,,Award of Excellence,1057
42,The,Boston Globe,Boston,Mass.,,Award of Excellence,06-NEWS,MED-BG1,04-MED,,SL,,66,,11Aa,Opinion Design,"Single Page/Broadsheet 175,000 and over",Ban this gun,Heather Hopp-Bruce,Ideas Design supervisor/Illustrator,Katie Kingsbury,Ideas Editor,Alex Kingsbury,Deputy Ideas Editor,,,,,,,,,,,,,,,,08-VISUAL,307,,06-NEWS,Special News Topics,79,,07-FEA,105,105,21,,06-SNT,29,76,,Silver,71
44,The,Boston Globe,Boston,Mass.,,Award of Excellence,06-NEWS,MED-BG1,04-MED,,SL,,66,,11Aa,Opinion Design,"Single Page/Broadsheet 175,000 and over",Make it stop,Heather Hopp-Bruce,Ideas Design supervisor/Illustrator,Katie Kingsbury,Ideas Editor,Alex Kingsbury,Deputy Ideas Editor,Omar Vega,News Design Supervisor,Dan Zedek,Design Director,,,,,,,,,,,,09-SC,147,,07-FEA,Features Design [Sections],9,,08-VISUAL,163,163,32.6,,07-PAGES,62,,,Gold,5
154,,Beijing News Agency,Beijing,,CHINA,Silver,04-MED,MED-BNA1,04-MED,,SL,0.50,36,,05E,Special News Topics,Editor's Choice: Features,Entertainer of the Year,Gu Lexiao,Newspaper Designer,Xu Yingjian,Illustrator,Gao Junfu,Illustrator,Yan Shuhong,Art Director,,,,,,,,,,,,,,10-RE,9,,07-FEA,Features Design [Pages],84,,09-SC,52,52,13,,07-MAGS,44,,,Gold & JSR,3
1135,,Beijing News Agency,Beijing,,CHINA,Award of Excellence,09-SC,MED-BNA1,04-MED,,SL,,36,,10Af,Special Sections,Features/No ads,Entertainer of the Year,Gu Lexiao,Newspaper Designer,Xu Yingjian,Illustrator,Gao Junfu,Illustrator,Yan Shuhong,Art Director,,,,,,,,,,,,,,11-PORT,88,,11-PORT,Page Design [Individual Portfolio],38,,10-RE,8,8,,,08-ILLO,65,,,,
747,,Chicago Tribune,Chicago,Ill.,,Award of Excellence,06-NEWS,MED-CT1,04-MED,,SL,,30,,03Aa,News Design [Pages],"A-Section/Broadsheet 175,000 and over","A selection of Page Ones from throughout 2016, including investigations, election, baseball playoffs",Ken Rickard,Editor/Designer,,,,,,,,,,,,,,,,,,,,,1144,,11-PORT,Page Design [Staff Portfolio],32,,11-PORT,87,78,19.5,,08-INFO,30,,,,
863,,Chicago Tribune,Chicago,Ill.,,Award of Excellence,06-NEWS,MED-CT1,04-MED,,SL,,30,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",Tavon and the bullet,Ken Rickard,Editor/Designer,,,,,,,,,,,,,,,,,,,,,,,09-SC,Special Coverage,28,,,1144,,,,08-PHOTO,68,,,,
202,,Chicago Tribune,Chicago,Ill.,,Silver,04-MED,MED-CT1,04-MED,,SL,,30,,15A,Photography [Multiple Photos],Single-Day Photo Series,Tavon Tanner,Jason Wambsgans,Photographer,,,,,,,,,,,,,,,,,,,,,,,09-SC,Special Sections,75,,,,,,,09-COMBO,18,,,,
36,,Chicago Tribune,Chicago,Ill.,,Silver,04-MED,MED-CT1,04-MED,,SL,0.50,30,,14G,Photography [Single Photos],Portrait,Tavon and the Bullet,Jason Wambsgans,Photographer,,,,,,,,,,,,,,,,,,,,,,,09-SC,Reprints,1,,,,,,,09-MISC,6,,,,
328,The,Guardian,London,,UNITED KINGDOM,Award of Excellence,11-PORT,MED-G1,04-MED,,SL,,29,,08Aa,Page Design [Individual Portfolio],"News 175,000 and over",News - Panama Papers,Chris Clarke,Deputy Creative Director,,,,,,,,,,,,,,,,,,,,,,,06-NEWS,Opinion Design,30,,,,,,,09-SPEC,28,,,,
351,The,Guardian,London,,UNITED KINGDOM,Silver,04-MED,MED-G1,04-MED,,SL,0.50,29,,09A,Special Coverage,News,Panama Papers - special Investigation,Chris Clarke,Deputy Creative Director,Michael Becker,Art Director,,,,,,,,,,,,,,,,,,,,,06-NEWS,Opinion section,1,,,,,,,10-RE,8,,,,
835,,Los Angeles Times,Los Angeles,Calif.,,Silver,04-MED,MED-LAT1,04-MED,,SL,,58,,20B,Combination Print & Digital,Sports,A true shooting guard,Joe Fox,"Graphics & Data Journalist
",Lorena Iñiquez Elebee,Senior graphics & data journalist,Armand Emamdjomeh,Deputy Director of Data Visualization,Ryan Menezes,"Digital editor
","
 ",,,,,,,,,,,,,,,,06-NEWS,Editorial Cartoons,8,,,,,,,11-VIS,26,,,,
456,,Los Angeles Times,Los Angeles,Calif.,,Silver,04-MED,MED-LAT1,04-MED,,SL,,58,,16Bc,Information Graphics [Single],Sports/Non-Deadline ,The true shooting guard,Joe Fox,"Graphics & Data Journalist
",Lorena Iñiquez Elebee,Senior graphics & data journalist,Ryan Menezes,Digital editor,,,,,,,,,,,,,,,,,,,07-FEA,Magazines,74,,,,,,,11-DES,61,,,,
